撮影日,場所,企画,シーン,カットNo,ショット,画,音・演出,尺,被写体,機材,ステータス
DAY1,向島工房,①コーポレート,二人の語り,①-2,MS / BS,永尾社長と佐藤さん。窓を背に座って話す,社長→佐藤さんの順。同じ光の作り方,0:25-0:45（本編20秒／収録は各30分）,永尾社長・佐藤さん,三脚2台・ピンマイク2本・レフ板,未撮影
DAY1,向島工房,①コーポレート,企画・設計,①-3,BIRD / ECU,打ち合わせテーブルを真上から。図面、革見本、道具。指が色見本を1枚ずらす,声が続く。映像だけ切り替える,0:45-0:57,職人の手,俯瞰スタンド・マクロレンズ,未撮影
DAY1,向島工房,⑩採用,社長の語り（別テイク）,⑩-2,MS / BS,「なぜ2つの工場を継いだのか」,①と同席で収録,0:12-0:30,永尾社長,①-2と同セット,未撮影
DAY1,向島工房,巻末⑩⑪,単独インタビュー素材,-,BS,佐藤さん30分・永尾社長30分をフル収録,使うのは各10秒でも全部残す,各30分,永尾社長・佐藤さん,①-2と同セット,未撮影
DAY2,向島工房,①コーポレート,製造,①-4,BIRD/CU/PROFILE/MACRO/ECU,原反、金型、革包丁、ミシン、手縫い、紙やすり、磨き,声が終わり工程の音だけになる,0:57-1:28,職人の手,ジンバル・マクロレンズ・ガンマイク,未撮影
DAY2,向島工房,③工程ASMR 1本目,金型裁断,③-1a,BIRD / ECU,[起]革の上に金型が置かれる金属音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 1本目,金型裁断,③-1b,BIRD / ECU,[承]プレス機が下り、革が抜ける瞬間,工程の音だけ,20秒,職人の手,同上（カメラ固定のまま）,未撮影
DAY2,向島工房,③工程ASMR 1本目,金型裁断,③-1c,BIRD / ECU,[結]抜けたパーツと穴の空いた余り革,テロップ「金型裁断」,3-5秒,完成パーツ,同上,未撮影
DAY2,向島工房,③工程ASMR 2本目,革包丁（手裁断）,③-2a,ECU / MACRO,[起]砥石に刃を当てる音,冒頭2秒で音を立てる。BGMなし,0-2秒,職人の手,固定三脚・9:16・ショットガンマイク15cm以内,未撮影
DAY2,向島工房,③工程ASMR 2本目,革包丁（手裁断）,③-2b,ECU / MACRO,[承]定規に沿って切る。切っ先だけを追う,工程の音だけ,25秒,職人の手,同上（カメラ固定のまま）,未撮影
